id,type,state,created_at,updated_at,title,description,close_at,total_class_hours,keywords
213160,COURSE,HIDDEN,2022-08-31 0:08,2023-10-12 5:12,프리프로덕션부터 배-213160,가상의 의뢰 시나리,NULL,16,"모션그래픽,2D그래픽,애프터이펙트,애프터 이펙트,에프터이팩트,프리미엄프로,프리프로덕션,모션 그래픽,모션그래픽 기초,모션그래픽 입문,aftereffect,adobe,프리 프로덕션,모션 디자이너,모션 그래픽 디자이너,모션그래픽 디자이너,모션 스튜디오,9개 예제,디자인 소스,스토리보드,아트웍,가편"
213152,COURSE,ONGOING,2022-08-30 7:02,2023-11-20 0:40,의료 데이터를 활용-213152,실무에서 가장 많이,NULL,20,"의료AI,바이오AI,AI신약개발,ai,머신러닝,딥러닝"
213115,COURSE,ONGOING,2022-08-26 8:04,2022-11-16 5:07,(B2G) K-Di-213115,NULL,NULL,40,NULL
213095,COURSE,ONGOING,2022-08-25 7:46,2022-11-16 4:25,(B2G) K-Di-213095,NULL,NULL,28,NULL
213093,COURSE,ONGOING,2022-08-25 5:59,2022-11-16 4:40,(B2G)K-Dig-213093,NULL,NULL,NULL,NULL
213092,COURSE,ONGOING,2022-08-25 5:58,2022-11-16 4:33,(B2G)K-Dig-213092,NULL,NULL,NULL,NULL
213090,COURSE,ONGOING,2022-08-25 5:47,2022-11-16 4:43,(B2G)K-Dig-213090,NULL,NULL,NULL,NULL
213089,COURSE,ONGOING,2022-08-25 5:46,2022-11-16 4:45,(B2G) K-Di-213089,NULL,NULL,NULL,NULL
213088,COURSE,ONGOING,2022-08-25 5:45,2022-11-16 4:05,(B2G) K-Di-213088,NULL,NULL,23,NULL
213087,COURSE,ONGOING,2022-08-25 5:44,2022-11-16 2:14,(B2G) K-Di-213087,NULL,NULL,19,NULL
213086,COURSE,ONGOING,2022-08-25 5:42,2022-11-16 2:35,(B2G) K-Di-213086,NULL,NULL,NULL,NULL
213080,COURSE,HIDDEN,2022-08-25 4:06,2022-08-25 4:06,권오상의 금융 아카-213080,온라인 최초공개 C,NULL,11,"권오상,재무제표,기업분석,M&A,IPO,부동산,금융,회계,재무,세무,권오상회계강의"
213060,COURSE,HIDDEN,2022-08-24 2:02,2023-12-27 6:24,DevOps 마스터-213060,DevOps 엔지니,NULL,160,"리눅스,도커,쿠버네티스,aws,gcp,eks,컨테이너,microservice,msa,마이크로서비스,클라우드,cloud,sre,운영,엔지니어,프로젝트,트러블슈팅,삼성,네카라쿠배"
212872,COURSE,ONGOING,2022-08-18 7:35,2023-11-20 0:40,가장 빨리 도달하는-212872,딥러닝 객체 감지 ,NULL,9,"YOLO,객체감지알고리즘,평생소장,딥러닝,컴퓨터비전,컴퓨터비전알고리즘,객체탐지,객체탐지알고리즘,객체감지모델,객체인식,객체인식모델,객체탐지모델,YOLOV3,YOLOV5,R-CNN,자율주행,건축,메디컬,YOLO강의,딥러너,욜로,욜로강의,욜로V3,욜로V5,엔지니어,딥러닝엔지니어,컴퓨터비전엔지니어,딥러닝실무자,딥러닝강의,실습"
212871,COURSE,ONGOING,2022-08-18 7:30,2023-11-20 0:40,한 번에 끝내는 S-212871,SQL기반으로 Ex,NULL,65,"SQL,태블로,데이터분석,sql시각화,sql태블로,SQLD,SQLD자격증,데이터시각화,데이터분석가,SQL자격증,SQL강의"
212869,COURSE,ONGOING,2022-08-18 6:02,2024-01-08 9:47,파이썬으로 할 수 -212869,파이썬으로 할 수 ,NULL,92,"데이터분석,머신러닝,웹개발,파이썬중급,파이썬입문,파이썬기초,백엔드,backend,데이터사이언스,주피터,python,fastapi,mysql,django,파이썬문법,크롤링,업무자동화,파이썬웹개발,파이썬언어,파이썬심화,파이썬활용,평생소장,표준 라이브러리,게임,웹 크롤링,업무 자동화,data,중급"
212831,COURSE,ONGOING,2022-08-17 2:17,2022-11-16 4:20,(B2G) K-Di-212831,NULL,NULL,33,NULL
212830,COURSE,ONGOING,2022-08-17 2:09,2022-11-16 4:47,(B2G) K-Di-212830,NULL,NULL,61,NULL
212784,COURSE,ONGOING,2022-08-15 23:00,2023-12-18 5:41,20개 실습으로 익-212784,"RNN, LSTM,",NULL,10,"transformer,시퀀스데이터딥러닝,Attention"
212777,COURSE,ONGOING,2022-08-12 7:01,2023-11-20 0:40,데이터 분석을 위한-212777,데이터 분석을 위한,NULL,10,"기초통계,수학통계,EDA,데이터분석기초,공공데이터분석,빅데이터분석,데이터분석자격증,기초 통계,통계,데이터 분석,확률,데이터탐색"
212742,BOOK,ONGOING,2022-08-10 0:29,2022-09-29 1:47,빅데이터분석기사 실-212742,전공자가 아니면 합,NULL,NULL,"빅데이터,데이터분석,자격증,시험,합격,데이터,김동환"
212740,COURSE,ONGOING,2022-08-09 23:08,2023-11-20 0:40,The Red : -212740,사람처럼 감정과 운,NULL,4,"타입캐스트,김태수,음성합성기술,네오사피엔스,AI성우,인공지능성우,김태수강의,Thered,음성합성원천기술,영상합성원천기술,김태수대표,타입캐스트대표,네오사피엔스대표,딥러닝,인공지능,AI,ai,ai성우,ai강의,자연어처리,딥러닝강의,인공지능강의,TTS,TTF,스냅드래곤,snapdragon,생성모델,GAN,gan,딥러닝모델"
212733,COURSE,ONGOING,2022-08-09 0:54,2022-11-16 4:52,K-Digital -212733,NULL,NULL,75,NULL
212720,COURSE,ONGOING,2022-08-08 3:32,2024-01-05 6:38,백엔드 개발자를 위-212720,데이터 처리 4대장,NULL,76,"mongodb,kafka,redis,백엔드심화,backend,server,서버,몽고디비,카프카,mysql,마이에스큐엘,restapi,ddd,대규모,cleancode,클린코드,최적화,아키텍처,프로젝트,데이터베이스,db,쿼리,스키마,레디스"
212717,COURSE,ONGOING,2022-08-05 13:11,2023-11-20 1:28,한 번에 끝내는 동-212717,동화 쓰기부터 일러,NULL,16,"동화책,동화쓰기,동화책만들기,동화책출판,동화일러스트,독립출판,동화작가,작가데뷔,인디자인,포토샵,스토리텔링,전자책출판,종이책출판,북바인딩,일러스트,그림책"
212711,COURSE,ONGOING,2022-08-05 1:57,2023-11-20 1:18,차원이 다른 캐주얼-212711,3D 모델링이 처음,NULL,20,"블렌더,일러스트,캐릭터,3D,캐주얼,스타,스타741,741,망고,모델링,모델러,일러스트레이터,드로잉,컨셉아트,블랜더,qmffpsej,qmfosek,쓰리디,디자인,2D,투디,blender,일레러,자캐,일러스트풍,팬아트,무료툴,qmffosej"
212710,COURSE,ONGOING,2022-08-05 1:42,2023-11-20 0:40,AI Paper :-212710,3D 컴퓨터비전 최,NULL,11,"컴퓨터비전,논문구현,NeRF,널프,코드구현,3D컴퓨터비전,3D 컴퓨터비전,컴퓨터 비전,Computer Vision,ComputerVision,D-nerf,NerFACE,nerface,dnerf,d-nerf,논문리뷰, 데이터사이언스, SOTA모델, SOTA, 데이터 사이언스, 데이터 싸이언스, 논문 리뷰, SOTA 모델"
212705,COURSE,ONGOING,2022-08-04 8:43,2022-11-16 4:20,(B2G) K-Di-212705,NULL,NULL,33,NULL
212704,COURSE,ONGOING,2022-08-04 8:34,2022-11-16 5:07,(B2G) K-Di-212704,NULL,NULL,40,NULL
212703,COURSE,ONGOING,2022-08-04 8:27,2022-11-16 4:47,(B2G) K-Di-212703,NULL,NULL,61,NULL
